,Unit,Example,Description
type,-,heat_pump,Category heat pump enabling heating and cooling
CAPEX_lin,€/kW,1300,Specific investment cost per unit of electrical capacity
OEM_lin,€/kW/y,15,Specific fixed annual O&M cost
lifetime_y,years,20,Component lifetime
COP_c1,-,2.3,Nominal COP for heating at reference temperature T_c1
COP_c2,-,2.7,Nominal COP for heating at reference temperature T_c2
EER_h1,-,3.0,Nominal EER for cooling at reference temperature T_h1
EER_h2,-,2.6,Nominal EER for cooling at reference temperature T_h2
T_c1,°C,2.0,Reference external air temperature for COP_c1
T_c2,°C,7.0,Reference external air temperature for COP_c2
T_h,°C,55.0,Heating outlet/reference temperature
T_h1,°C,30.0,Reference external air temperature for EER_h1
T_h2,°C,35.0,Reference external air temperature for EER_h2
T_c,°C,7.0,Cooling evaporator/reference temperature
delta_T_approach,K,5.0,Temperature approach difference used for COP/EER computation
max_capacity,kW,50,Maximum electrical input power of the heat pump
profile,,,
--T_int,str or float or list,T_int,Internal temperature profile code
--T_ext,str or float or list,T_ext,External temperature profile code
